dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0.003742357,0.407407407,5.46e-05,0.009172205,0.45,0.00186,0,0.425,0.981481481,0.953488372,0.573529412,0.787878788,0.354545455,1,0.441860465,0.430232558,0,0.114110345,0,0,7040
0.003745212,0.481481481,2.93e-05,0.009183135,0.7,0.000721,0,0.45,0.981481481,0.976744186,0.588235294,0.787878788,0.445454545,1,0.441860465,0.430232558,0,0.114110563,0,0,7041
0.00374725,0.444444444,1.41e-05,0.009191717,0.9,0.044442,0,0.45,0.981481481,0.976744186,0.617647059,0.818181818,0.424242424,1,0.418604651,0.744186047,0,0.114110782,0,0,7042
0.003747645,0.333333333,9.09e-06,0.009192394,0.6,0.03635,0,0.325,0.981481481,0.953488372,0.588235294,0.787878788,0.424242424,1,0.395348837,0.38372093,0,0.114111,0,0,7043
0.003749195,0.407407407,5.05e-06,0.009200693,0.65,0.014083,0,0.5,0.981481481,0.976744186,0.588235294,0.787878788,0.424242424,1,0.418604651,0.395348837,0,0.114111219,0,0,7044
0.00375206,0.407407407,3.03e-06,0.009217183,0.6,0.086572,0,0.5,0.981481481,0.976744186,0.617647059,0.818181818,0.406060606,1,0.395348837,0.395348837,0,0.114111438,0,0,7045
0.003752708,0.333333333,2.02e-06,0.009218085,0.5,0.037266,0,0.475,0.981481481,0.976744186,0.588235294,0.787878788,0.406060606,1,0.488372093,0.430232558,0,0.114111656,0,0,7046
0.003753028,0.333333333,1.01e-06,0.009218749,0.45,0.016042,0,0.475,0.981481481,0.976744186,0.647058824,0.787878788,0.424242424,1,0.465116279,0.406976744,0,0.114111875,0,0,7047
0.003753344,0.333333333,1.01e-06,0.009219424,0.45,0.006906,0,0.5,0.981481481,0.976744186,0.588235294,0.787878788,0.587878788,1,0.441860465,0.302325581,0,0.114112093,0,0,7048
0.00375495,0.37037037,0,0.009228305,0.45,0.004516,0,0.375,0.981481481,0.976744186,0.617647059,0.787878788,0.536363636,1,0.302325581,0.313953488,0,0.114112312,0,0,7049
0.003758591,0.481481481,0,0.009246143,0.85,0.019932,0,0.45,0.981481481,0.976744186,0.617647059,0.787878788,0.390909091,1,0.441860465,0.430232558,0,0.11411253,0,0,7050
0.003760564,0.444444444,0,0.009253767,0.7,0.070082,0,0.45,0.981481481,0.976744186,0.691176471,0.787878788,0.445454545,1,0.465116279,0.406976744,0,0.114112749,0,0,7051
0.003761579,0.481481481,0,0.009254391,0.55,0.045352,0,0.475,0.981481481,0.976744186,0.661764706,0.787878788,0.46969697,1,0.441860465,0.372093023,0,0.114112967,0,0,7052
0.003763227,0.37037037,0,0.009262167,0.55,0.019523,0,0.475,0.981481481,0.976744186,0.602941176,0.787878788,0.424242424,1,0.418604651,0.395348837,0,0.114113186,0,0,7053
0.003764911,0.333333333,0,0.009272016,0.45,0.007563,0,0.5,0.981481481,0.976744186,0.632352941,0.787878788,0.46969697,1,0.418604651,0.372093023,0,0.114113404,0,0,7054
0.003766496,0.37037037,0,0.009280032,0.5,0.00293,0,0.425,0.981481481,0.976744186,0.602941176,0.787878788,0.424242424,1,0.441860465,0.406976744,0,0.114113623,0,0,7055
